,problemId,titleKo,isSolvable,isPartial,acceptedUserCount,level,votedUserCount,sprout,givesNoRating,isLevelLocked,averageTries,official,tag
11462,12623.0,Alphabetomials (Small),True,False,0.0,0.0,0.0,False,False,False,0.0,True,
11463,12624.0,Alphabetomials (Large),True,False,0.0,0.0,0.0,False,False,False,0.0,True,
11464,12625.0,Football Team (Small),True,False,6.0,23.0,1.0,False,False,False,1.1667,True,"graphs,planar_graph,"
11465,12626.0,Football Team (Large),True,False,6.0,24.0,2.0,False,False,False,1.6667,True,"dfs,graphs,graph_traversal,planar_graph,"
11466,12627.0,Interesting Ranges (Small),True,False,0.0,0.0,0.0,False,False,False,0.0,True,
11467,12628.0,Interesting Ranges (Large),True,False,0.0,0.0,0.0,False,False,False,0.0,True,
11468,12629.0,Crazy Rows (Small),True,False,34.0,7.0,5.0,False,False,False,1.2059,True,"sorting,"
11469,12630.0,Crazy Rows (Large),True,False,47.0,16.0,8.0,False,False,False,1.3404,True,"greedy,"
11470,12631.0,A Digging Problem (Small),True,False,1.0,0.0,0.0,False,False,False,1.0,True,
11471,12632.0,A Digging Problem (Large),True,False,1.0,0.0,0.0,False,False,False,11.0,True,
11472,12633.0,Stock Charts (Small),True,False,14.0,13.0,1.0,False,False,False,1.0,True,
11473,12634.0,Stock Charts (Large),True,False,22.0,19.0,6.0,False,False,False,1.3636,True,"bipartite_matching,"
11474,12635.0,Watering Plants (Small),True,False,2.0,15.0,1.0,False,False,False,1.0,True,"bruteforcing,geometry,"
11475,12636.0,Watering Plants (Large),True,False,5.0,19.0,2.0,False,False,False,2.4,True,"binary_search,geometry,"
11476,12637.0,All Your Base (Small),True,False,24.0,8.0,5.0,False,False,False,2.0833,True,"greedy,math,number_theory,"
11477,12638.0,All Your Base (Large),True,False,25.0,8.0,5.0,False,False,False,1.72,True,"greedy,math,number_theory,string,"
11478,12639.0,Center of Mass (Small),True,False,30.0,9.0,8.0,False,False,False,1.6667,True,"geometry,math,physics,"
11479,12640.0,Center of Mass (Large),True,False,30.0,9.0,9.0,False,False,False,2.2,True,"geometry,math,physics,ternary_search,"
11480,12641.0,Bribe the Prisoners (Small),True,False,36.0,7.0,3.0,False,False,False,1.1389,True,"backtracking,bruteforcing,"
11481,12642.0,Bribe the Prisoners (Large),True,False,36.0,15.0,3.0,False,False,False,1.3611,True,"dp,sorting,"
11482,12643.0,Decision Tree (Small),True,False,7.0,13.0,1.0,False,False,False,1.4286,True,"parsing,string,trees,"
11483,12644.0,Decision Tree (Large),True,False,6.0,13.0,2.0,False,False,False,1.8333,True,"parsing,string,trees,"
11484,12645.0,The Next Number (Small),True,False,39.0,5.0,8.0,False,False,False,2.0513,True,"bruteforcing,greedy,"
11485,12646.0,The Next Number (Large),True,False,38.0,11.0,6.0,False,False,False,2.1316,True,"greedy,implementation,string,"
11486,12647.0,Square Math (Small),True,False,5.0,19.0,1.0,False,False,False,1.0,True,
11487,12648.0,Square Math (Large),True,False,7.0,18.0,4.0,False,False,False,3.4286,True,"bfs,dijkstra,graphs,graph_traversal,implementation,"
11488,12649.0,Multi-base happiness (Small),True,False,24.0,6.0,6.0,False,False,False,1.125,True,"bruteforcing,implementation,"
11489,12650.0,Multi-base happiness (Large),True,False,16.0,14.0,5.0,False,False,False,4.4375,True,"dp,precomputation,"
11490,12651.0,Crossing the Road (Small),True,False,4.0,0.0,0.0,False,False,False,1.75,True,
11491,12652.0,Crossing the Road (Large),True,False,4.0,0.0,0.0,False,False,False,1.5,True,
11492,12653.0,Collecting Cards (Small),True,False,8.0,9.0,3.0,False,False,False,1.25,True,"dp,math,probability,"
11493,12654.0,Collecting Cards (Large),True,False,11.0,15.0,5.0,False,False,False,1.1818,True,"combinatorics,dp,gaussian_elimination,linear_algebra,math,probability,"
11494,12655.0,Alien Language (Small),True,False,32.0,7.0,3.0,False,False,False,1.4375,True,"bruteforcing,data_structures,hash_set,parsing,string,"
11495,12656.0,Alien Language (Large),True,False,31.0,10.0,5.0,False,False,False,1.2581,True,"bruteforcing,parsing,string,"
11496,12657.0,Watersheds (Small),True,False,32.0,9.0,4.0,False,False,False,1.1563,True,"backtracking,bfs,data_structures,dfs,disjoint_set,graphs,graph_traversal,"
11497,12658.0,Watersheds (Large),True,False,31.0,9.0,3.0,False,False,False,1.5484,True,"bfs,data_structures,dfs,disjoint_set,graphs,graph_traversal,"
11498,12659.0,Welcome to Code Jam (Small),True,False,53.0,8.0,7.0,False,False,False,1.4717,True,"backtracking,bruteforcing,dp,"
11499,12660.0,Welcome to Code Jam (Large),True,False,50.0,10.0,6.0,False,False,False,1.96,True,"dp,string,"
11500,12661.0,Juice (Small),True,False,22.0,11.0,3.0,False,False,False,1.1364,True,
11501,12662.0,Juice (Large),True,False,41.0,19.0,4.0,False,False,False,2.122,True,"sliding_window,ternary_search,"
11502,12663.0,Ping Pong Balls (Small),True,False,9.0,13.0,2.0,False,False,False,1.0,True,"graphs,graph_traversal,"
11503,12664.0,Ping Pong Balls (Large),True,False,6.0,22.0,2.0,False,False,False,2.5,True,"linear_algebra,math,"
11504,12665.0,Mine Layer (Small),True,False,13.0,17.0,4.0,False,False,False,1.1538,True,"bruteforcing,"
